Fecha,O3,PM25,PRE,RS,TMP,VEL,DIR,HUM,LLU,AOD
2021-04-13,17.54,10.1,763.1,258.95,17.2,1.26,155.82,64.42,0.0,0.41535000000000005
2021-04-14,18.32,12.22,763.74,274.75,15.97,1.75,164.94,79.08,0.0,0.41502
2021-04-16,21.08,8.71,763.81,258.0,15.62,1.89,105.19,84.56,0.0,0.46338
2021-04-20,18.11,11.95,764.51,292.88,15.14,1.4,185.49,81.58,0.0,0.20334000000000002
2021-04-21,23.0,7.68,764.97,249.02,15.53,1.46,131.47,80.85,2.0,0.19629
2021-04-23,21.8,8.44,764.24,297.11,15.71,1.99,116.68,85.55,2.6,0.5306799999999999
2021-04-25,24.17,7.3,763.96,297.87,16.17,1.74,126.73,82.06,0.0,0.42279000000000005
2021-04-27,20.48,9.85,764.54,226.3,14.89,1.32,110.43,84.47,1.5,0.37895999999999996
2021-05-04,18.14,11.16,765.75,287.48,15.07,1.53,154.12,82.87,0.0,0.24164
2021-05-06,21.68,6.15,765.7,257.68,15.17,1.54,135.15,81.05,4.2,0.45215
2021-05-07,18.55,11.47,765.37,265.94,15.3,1.21,141.82,84.16,0.1,0.49701
2021-05-09,16.01,9.95,763.96,300.69,15.9,1.4,126.51,83.19,0.0,0.32933999999999997
2021-05-11,13.52,8.59,763.3,248.8,16.14,1.24,62.07,79.43,0.0,0.598
2021-05-13,13.12,14.16,763.73,276.45,15.8,1.53,150.45,79.35,0.0,0.25211
2021-05-18,12.65,11.14,765.36,220.8,15.68,0.88,113.71,82.05,0.3,0.538
2021-05-20,17.08,11.41,763.73,276.21,17.06,1.36,135.76,74.98,0.0,0.12859
2021-05-21,15.47,10.9,763.7,248.57,16.46,1.51,151.69,77.96,0.0,0.27916
2021-05-22,16.33,5.61,764.03,234.21,15.79,1.59,75.51,86.41,0.0,0.598
2021-05-23,17.38,7.02,764.1,240.79,15.25,1.58,77.52,88.1,0.0,0.35574
2021-05-24,16.8,8.08,764.13,262.98,15.48,1.63,125.13,82.55,0.0,0.51228
2021-05-27,16.7,9.3,765.29,273.95,15.83,1.69,134.72,81.16,0.0,0.38591000000000003
2021-05-28,16.85,10.28,765.23,277.65,15.34,1.76,181.57,77.9,0.0,0.45403
2021-05-29,18.93,7.67,764.52,262.57,15.86,1.46,130.56,78.33,0.0,0.33694
2021-05-30,21.97,8.4,764.91,184.2,15.84,1.17,105.88,79.4,0.4,0.599
2021-05-31,15.51,12.89,765.4,175.7,15.36,1.04,148.52,80.2,0.6,0.41641000000000006
2021-06-01,16.0,13.8,764.58,253.47,15.36,1.45,147.16,83.35,0.9,0.38517
2021-06-03,19.84,14.67,764.24,256.02,16.19,1.58,141.94,78.01,0.0,0.24681
2021-06-12,21.31,14.78,764.71,264.52,15.99,1.71,165.04,79.89,4.4,0.22979
2021-07-14,22.14,15.48,764.87,302.48,14.96,1.44,168.84,75.87,0.0,0.23138999999999998
2021-07-15,23.01,16.01,764.62,290.75,16.03,1.33,129.11,73.52,0.0,0.22463999999999998
2021-07-16,22.15,15.63,764.29,229.53,15.06,1.72,154.4,77.92,0.1,0.38003
2021-07-18,19.72,10.68,764.88,228.69,15.26,1.18,121.51,78.23,0.9,0.369
2021-07-19,24.61,12.98,763.97,191.9,16.69,1.42,122.5,63.26,0.0,0.45674000000000003
2021-07-21,20.87,14.41,763.51,250.91,16.99,1.36,126.7,55.23,0.0,0.23138999999999998
2021-07-26,23.76,10.58,765.73,231.14,14.75,1.52,96.4,81.76,0.5,0.45792000000000005
2021-07-27,24.84,11.42,765.74,240.71,15.69,1.3,125.37,79.42,0.0,0.36508
2021-07-28,23.0,15.22,764.58,264.62,16.39,1.17,151.12,70.66,0.0,0.24216000000000001
2021-08-04,41.66,17.92,765.51,300.88,17.03,2.05,83.69,43.07,0.0,0.38012
2021-08-06,24.26,16.61,766.0,222.94,14.99,1.36,188.73,67.36,0.0,0.21968000000000001
2021-08-08,28.55,16.27,765.17,278.5,15.46,1.48,148.5,72.05,0.0,0.4173
