Fecha,Estacion,Nivel,Valor
2023-03-16 15:00:00,Belisario,Precaucion,52.28
2023-03-16 22:00:00,Belisario,Precaucion,56.33
2023-03-18 01:00:00,Belisario,Precaucion,55.58
2023-03-20 17:00:00,Belisario,Precaucion,51.36
2023-03-21 14:00:00,Belisario,Precaucion,65.38
2023-03-21 16:00:00,Belisario,Precaucion,52.1
2023-03-22 18:00:00,Belisario,Precaucion,51.38
2023-03-23 11:00:00,Belisario,Precaucion,60.81
2023-03-23 17:00:00,Belisario,Precaucion,70.76
2023-03-26 16:00:00,Belisario,Precaucion,55.37
2023-03-27 02:00:00,Belisario,Precaucion,63.25
2023-03-27 08:00:00,Belisario,Precaucion,51.54
2023-03-28 15:00:00,Belisario,Precaucion,58.99
2023-03-28 19:00:00,Belisario,Precaucion,87.82
2023-03-29 16:00:00,Belisario,Precaucion,62.35
2023-03-29 21:00:00,Belisario,Precaucion,57.21
2023-03-30 14:00:00,Belisario,Precaucion,54.7
2023-03-30 22:00:00,Belisario,Precaucion,51.57
2023-03-31 15:00:00,Belisario,Precaucion,55.61
2023-04-01 20:00:00,Belisario,Precaucion,58.79
2023-04-03 01:00:00,Belisario,Precaucion,54.18
2023-04-03 08:00:00,Belisario,Precaucion,56.59
2023-04-04 13:00:00,Belisario,Precaucion,54.49
2023-04-04 18:00:00,Belisario,Precaucion,77.16
2023-04-05 14:00:00,Belisario,Precaucion,66.49
2023-04-05 15:00:00,Belisario,Precaucion,51.44
2023-04-06 16:00:00,Belisario,Precaucion,56.03
2023-04-07 23:00:00,Belisario,Precaucion,57.4
2023-04-09 02:00:00,Belisario,Precaucion,97.28
2023-04-09 14:00:00,Belisario,Precaucion,52.74
2023-04-09 19:00:00,Belisario,Precaucion,66.35
2023-04-10 04:00:00,Belisario,Precaucion,69.72
2023-04-14 01:00:00,Belisario,Precaucion,57.95
2023-04-27 13:00:00,Belisario,Precaucion,72.18
2023-05-19 13:00:00,Belisario,Precaucion,52.61
2023-05-24 13:00:00,Belisario,Precaucion,53.52
2023-08-18 20:00:00,Belisario,Precaucion,73.76
2023-08-18 21:00:00,Belisario,Precaucion,119.34
2023-08-18 22:00:00,Belisario,Precaucion,135.9
2023-08-18 23:00:00,Belisario,Precaucion,63.92
2023-09-03 00:00:00,Belisario,Precaucion,56.8
2023-09-24 01:00:00,Belisario,Precaucion,55.13
2023-09-24 02:00:00,Belisario,Precaucion,55.59
2023-09-24 03:00:00,Belisario,Precaucion,64.31
2023-09-28 13:00:00,Belisario,Precaucion,51.31
2023-10-22 01:00:00,Belisario,Precaucion,71.63
2023-10-22 03:00:00,Belisario,Precaucion,53.47
2023-10-22 04:00:00,Belisario,Precaucion,93.86
2023-11-17 15:00:00,Belisario,Precaucion,51.92
2023-11-20 20:00:00,Belisario,Precaucion,122.86
2023-11-29 15:00:00,Belisario,Precaucion,53.99
2023-12-05 13:00:00,Belisario,Precaucion,55.29
2023-12-22 15:00:00,Belisario,Precaucion,55.01
2024-01-01 05:00:00,Belisario,Precaucion,52.28
2024-01-01 06:00:00,Belisario,Precaucion,112.34
2024-01-01 07:00:00,Belisario,Alerta,174.75
2024-01-01 08:00:00,Belisario,Alerta,214.89
2024-01-01 09:00:00,Belisario,Alarma,261.19
2024-01-01 10:00:00,Belisario,Alarma,273.12
2024-01-01 11:00:00,Belisario,Alarma,276.63
2024-01-01 12:00:00,Belisario,Alarma,263.82
2024-01-01 13:00:00,Belisario,Alerta,235.78
2024-01-01 14:00:00,Belisario,Precaucion,66.74
2024-01-02 14:00:00,Belisario,Precaucion,61.1
2024-01-02 17:00:00,Belisario,Precaucion,51.63
2024-02-01 13:00:00,Belisario,Precaucion,55.15
2024-02-19 15:00:00,Belisario,Precaucion,51.82
2024-02-28 13:00:00,Belisario,Precaucion,63.19
2024-02-29 14:00:00,Belisario,Precaucion,51.71
2024-03-20 17:00:00,Belisario,Precaucion,51.83
2024-03-21 15:00:00,Belisario,Precaucion,51.91
2024-03-22 17:00:00,Belisario,Precaucion,52.83
2024-03-23 15:00:00,Belisario,Precaucion,51.85
2024-03-25 15:00:00,Belisario,Precaucion,61.17
2024-03-26 13:00:00,Belisario,Precaucion,52.47
2024-03-26 14:00:00,Belisario,Precaucion,52.79
2024-04-03 16:00:00,Belisario,Precaucion,59.07
2024-04-11 14:00:00,Belisario,Precaucion,56.5
2024-04-15 14:00:00,Belisario,Precaucion,58.92
2024-04-16 16:00:00,Belisario,Precaucion,86.03
2024-04-16 17:00:00,Belisario,Precaucion,60.47
2024-04-20 15:00:00,Belisario,Precaucion,51.21
2024-04-22 16:00:00,Belisario,Precaucion,56.67
2024-04-23 17:00:00,Belisario,Precaucion,51.4
2024-04-25 15:00:00,Belisario,Precaucion,51.82
2024-04-25 16:00:00,Belisario,Precaucion,58.0
2024-04-27 13:00:00,Belisario,Precaucion,52.56
2024-04-30 12:00:00,Belisario,Precaucion,53.38
2024-04-30 13:00:00,Belisario,Precaucion,54.58
2024-04-30 15:00:00,Belisario,Precaucion,58.41
2024-04-30 16:00:00,Belisario,Precaucion,55.77
2024-05-06 13:00:00,Belisario,Precaucion,53.14
2024-05-09 14:00:00,Belisario,Precaucion,54.4
2024-05-09 15:00:00,Belisario,Precaucion,52.6
2024-05-13 15:00:00,Belisario,Precaucion,58.73
2024-05-13 16:00:00,Belisario,Precaucion,51.77
2024-05-13 17:00:00,Belisario,Precaucion,55.18
2024-05-13 18:00:00,Belisario,Precaucion,58.6
2024-08-30 20:00:00,Belisario,Precaucion,84.29
2024-09-04 19:00:00,Belisario,Precaucion,122.62
2024-09-04 20:00:00,Belisario,Alerta,152.9
2024-09-04 21:00:00,Belisario,Precaucion,84.87
2024-09-04 22:00:00,Belisario,Precaucion,75.18
2024-09-13 12:00:00,Belisario,Precaucion,90.49
2024-09-13 13:00:00,Belisario,Precaucion,60.15
2024-09-13 22:00:00,Belisario,Precaucion,88.78
2024-09-13 23:00:00,Belisario,Emergencia,361.33
2024-09-14 01:00:00,Belisario,Precaucion,53.8
2024-09-21 14:00:00,Belisario,Precaucion,61.57
2024-09-25 03:00:00,Belisario,Precaucion,69.04
2024-09-25 04:00:00,Belisario,Precaucion,95.8
2024-09-25 05:00:00,Belisario,Precaucion,116.94
2024-09-25 06:00:00,Belisario,Precaucion,96.21
2024-09-25 07:00:00,Belisario,Precaucion,112.35
2024-09-25 08:00:00,Belisario,Precaucion,149.59
2024-09-25 09:00:00,Belisario,Precaucion,84.64
2024-09-25 15:00:00,Belisario,Precaucion,57.01
2024-09-25 16:00:00,Belisario,Precaucion,123.27
2024-09-25 19:00:00,Belisario,Precaucion,56.97
2024-09-26 03:00:00,Belisario,Precaucion,70.49
2024-09-26 05:00:00,Belisario,Precaucion,54.66
2024-09-26 14:00:00,Belisario,Precaucion,58.81
2024-09-26 16:00:00,Belisario,Precaucion,52.52
2024-09-27 15:00:00,Belisario,Precaucion,58.66
2024-09-27 23:00:00,Belisario,Precaucion,54.69
2024-09-28 03:00:00,Belisario,Precaucion,61.49
2024-09-28 13:00:00,Belisario,Precaucion,83.6
2024-09-28 14:00:00,Belisario,Precaucion,77.04
2024-09-28 15:00:00,Belisario,Precaucion,54.73
2024-09-28 16:00:00,Belisario,Precaucion,60.84
2024-10-01 13:00:00,Belisario,Precaucion,56.86
2024-10-02 15:00:00,Belisario,Precaucion,62.83
2024-10-08 16:00:00,Belisario,Precaucion,56.06
2024-10-09 13:00:00,Belisario,Precaucion,57.92
2024-10-19 22:00:00,Belisario,Precaucion,54.58
2024-10-19 23:00:00,Belisario,Precaucion,59.49
2024-10-20 00:00:00,Belisario,Precaucion,55.55
2024-10-21 13:00:00,Belisario,Precaucion,53.68
2024-10-22 13:00:00,Belisario,Precaucion,52.8
2024-10-23 14:00:00,Belisario,Precaucion,53.26
2024-10-23 15:00:00,Belisario,Precaucion,54.98
2024-11-06 23:00:00,Belisario,Precaucion,66.25
2024-11-07 15:00:00,Belisario,Precaucion,71.03
2024-11-07 16:00:00,Belisario,Precaucion,61.89
2024-11-07 17:00:00,Belisario,Precaucion,53.47
2024-11-08 06:00:00,Belisario,Precaucion,51.24
2024-11-08 15:00:00,Belisario,Precaucion,60.24
2024-11-08 16:00:00,Belisario,Precaucion,55.36
2024-11-09 15:00:00,Belisario,Precaucion,56.07
