Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
9/6/2021,,,,,,,,,
9/7/2021,327.857,393.656,408.061,472.03,376.354,363.621,515.098,532.006,351.459
9/8/2021,,,,,,,,,
9/9/2021,325.495,256.533,247.06,223.534,200.667,278.288,230.312,230.163,275.494
9/10/2021,,427.529,444.27,,418.719,386.137,537.655,458.812,336.139
9/11/2021,,,,,,,,581,
9/12/2021,,,,,,,,,
9/13/2021,515,368.71,365.75,438.69,432.167,395.642,431.642,325.193,
9/14/2021,187.445,235.028,247.11,258.414,220.241,203.78,281.249,163.073,248.861
9/15/2021,,,,,,,,,439.802
9/16/2021,299.504,299.489,312.66,255.656,318.116,368.285,256.468,310.299,287.316
9/17/2021,329.575,293.612,359.151,224.872,265.812,335.722,292.049,175.767,257.461
9/18/2021,,,,,,,,,
9/19/2021,,314.82,313.267,324.281,275.086,267.697,309.63,261.618,240.399
9/20/2021,455.47,411.832,416.063,486.28,360.879,437.08,482.957,366.571,
9/21/2021,,,,,,,,,
9/22/2021,,,,,,,,,
9/23/2021,,,,,,,,,
9/24/2021,,,,,,418.647,,530,399.066
9/25/2021,355.11,421.23,390.108,303.77,327.79,382.824,472.057,334.335,376.74
9/26/2021,,,,,,,,,
9/27/2021,301.496,166.48,124.982,193.806,216.798,148.206,189.598,336.728,117.482
9/28/2021,,,,,579.746,,,,
9/29/2021,,,,,,,,598,
9/30/2021,,,,540.958,525.214,,506.203,406.87,
10/1/2021,,,,,,,,,
10/2/2021,424.209,399.18,416.311,330.445,302.218,378.63,350.21,302.653,515.386
10/3/2021,522,468.909,568.667,436.777,442.343,491.612,394.978,356.542,356.321
10/4/2021,481.194,,,476.912,480.274,,,,
10/5/2021,,,,,,,,,
10/6/2021,,,,,,,,,
10/7/2021,444.364,355.271,335.146,377.167,300.403,344.807,332.048,276.383,295.235
10/8/2021,,,,,,,,,
10/9/2021,316.507,357.829,376.776,452.834,370.26,367.767,495.839,561.185,369.679
10/10/2021,,,,,,,,,
10/11/2021,381.994,353.964,396.378,344.683,325.601,535.94,382.639,313.997,369.912
10/12/2021,237.921,371.617,452.74,388.789,324.304,317.646,474.622,429.318,388.235
10/13/2021,245.583,340.421,280.513,404.06,346.019,311.3,338.33,,301.91
10/14/2021,508.506,502.328,489.855,431.713,402,387.625,376.807,297.225,411.706
10/15/2021,,,,,,,,,
10/16/2021,,,,,,,,,
10/17/2021,,,,,,,,,
10/18/2021,453.853,493.163,530.185,499.697,481.075,686.651,553.603,486.325,530.737
10/19/2021,,,536,640.692,,576.154,618.868,,591.373
10/20/2021,494.594,500.69,515.542,451.1,464.178,538.517,434.021,347.22,432.347
10/21/2021,,,,,,,548.734,,590
10/22/2021,338.275,255.818,263.741,359.121,274.77,318.844,357.876,219.47,325.665
10/23/2021,538,507.118,502.487,576.43,492.667,481.542,527.48,429.402,452.388
10/24/2021,,,,,,,,,
10/25/2021,,,,,,,,454.584,
10/26/2021,,,,,,,,,
10/27/2021,384.772,322.744,287.138,335,412.501,,315.125,263.097,384.475
10/28/2021,344.722,274.767,254.709,286.068,283.161,209.636,254.423,269.795,207.542
10/29/2021,,,,,,,,,
10/30/2021,489.796,444.927,441.83,542.405,505.719,449.144,565.261,367.909,444.825
10/31/2021,,,,,,,,,
11/1/2021,381.69,524.381,500.367,540.023,524.589,458.246,548.584,440.96,482.915
11/2/2021,,,,,,,,,
11/3/2021,331.417,331.864,335.909,437.656,383.076,356.493,355.902,319.012,408.668
11/4/2021,507.305,467.127,446.355,540.196,500.727,343.211,488.556,412.389,344.879
11/5/2021,236.053,261.993,241.96,330.136,251.217,205.002,378.863,317.857,256.568
11/6/2021,413.29,,409.11,,416.356,378.13,,486.022,407.057
11/7/2021,,488.092,,511.936,480.483,,506.522,438.988,
11/8/2021,,,"1,285.25",,,997.429,,,
11/9/2021,,,,,,,,,
11/10/2021,,,,,,,,,
11/11/2021,,,,,,,,494.832,
11/12/2021,,,491,,,491,,,
11/13/2021,,,,,,,,,
11/14/2021,428.227,409.027,410.663,455.36,471.692,477.964,508.676,658.427,387.525
11/15/2021,426.711,444.143,413.259,560.02,498.553,327.66,560.228,392.595,382.897
11/16/2021,,,,,,,,,
11/17/2021,,,,,,,,,
11/18/2021,,,,,,,,,
11/19/2021,,,,,,,,531.805,499.248
11/20/2021,,,,,,,,,
11/21/2021,,,,,,,,,
11/22/2021,,,,,,,,,
11/23/2021,,,,,,,,,
11/24/2021,,,,,,,,,
11/25/2021,,,,,,,,,
11/26/2021,,405,,530.337,393.438,584.907,436.448,605.758,549.583
11/27/2021,,,,546,533.804,559,499.302,508.689,438.341
11/28/2021,422.777,457.169,473.988,414.959,407.512,441.198,478.317,390.386,381.173
11/29/2021,,,,,,,,,
11/30/2021,,,,,,,,584,
12/1/2021,,421.264,420.961,401.251,403.344,410.408,399.187,294.882,292.706
12/2/2021,257.42,253.389,246.073,319.356,280.175,250.93,337.317,210.001,361.122
12/3/2021,442.29,494.743,542.801,538.506,526.362,481.551,513.344,485.624,517.113
12/4/2021,,,,,,,,,491.605
12/5/2021,581.705,446.7,460.118,515.163,449.607,362.126,529.842,512.283,474.42
12/6/2021,,,,577,,,585.402,,496.27
12/7/2021,,320.788,,411.335,372,,458.687,,
12/8/2021,,,,,,,,,
12/9/2021,713.748,562.431,622.582,446.411,463.88,714.135,482.948,428.78,432.227
12/10/2021,,591,493.68,548.554,582.026,492.38,563.146,468.837,482.486
12/11/2021,,,,,,,,,
12/12/2021,,,,,,,,,
12/13/2021,,,,,,,,,
12/14/2021,,,,,,,,,
12/15/2021,,,,,,,,,
12/16/2021,,,,,,,,,
12/17/2021,,,,,,,,,
12/18/2021,,,,,,,,,
12/19/2021,,,,,,563.087,,,566
12/20/2021,,,,,,,,,
12/21/2021,,450,,,418.5,,412.554,471.949,527.541
12/22/2021,,,,,,,485.696,573,
12/23/2021,401.507,285.847,270.603,322.283,280.549,478.065,289.616,269.905,278.945
12/24/2021,348.62,415.524,398.806,519.259,512.869,406.435,504.287,535.349,339.958
12/25/2021,,,,,,,,,
12/26/2021,327.649,343.685,302.391,459.859,480.601,249.26,524.715,418.655,473.847
12/27/2021,,,,,,,,,
12/28/2021,,,,,,,,,
12/29/2021,,,,,,,,,
12/30/2021,319.828,365.833,430.78,528.49,411.938,450.52,562.675,572.537,498.78
12/31/2021,332.621,356.908,348.038,423.145,371.226,278.951,389.139,465.966,393.115
,,,,,,,,,
