Fecha,Belisario,Carapungo,Centro,Cotocollao,ElCamal,Guamani,LosChillos,SanAntonio,Tumbaco
2018-09-04 18:00:00,18.25,32.0,6.99,5.4,10.43,18.22,11.75,16.0,12.87
2018-09-05 18:00:00,28.04,30.82,27.51,20.53,30.13,20.83,31.64,13.5,25.75
2018-09-06 18:00:00,32.45,38.49,24.28,19.65,17.3,94.47,30.07,31.6,29.3
2018-09-07 18:00:00,30.36,36.11,34.98,26.95,,35.17,31.76,37.5,33.32
2018-09-08 18:00:00,5.96,25.43,,11.92,,18.65,12.94,9.1,8.3
2018-09-09 18:00:00,11.45,15.88,,8.37,,10.77,18.96,14.5,12.56
2018-09-10 18:00:00,20.46,30.23,20.83,19.19,26.05,36.11,19.9,23.9,14.6
2018-09-11 18:00:00,36.49,35.63,,28.5,41.1,36.65,37.83,24.4,37.98
2018-09-12 18:00:00,32.61,31.57,28.22,14.95,11.03,36.47,37.63,16.3,34.7
2018-09-13 18:00:00,28.1,6.65,14.85,14.89,1.1,24.23,23.46,9.4,21.16
2018-09-14 18:00:00,21.03,36.05,24.93,18.97,32.78,27.4,29.96,16.8,25.6
2018-09-15 18:00:00,21.4,18.51,13.23,19.19,22.99,22.24,26.9,7.9,22.84
2018-09-16 18:00:00,13.66,52.58,18.38,15.54,17.67,16.63,14.29,8.3,7.39
2018-09-17 18:00:00,14.61,12.4,24.16,11.25,25.95,34.81,25.76,6.1,26.1
2018-09-18 18:00:00,17.63,21.27,28.14,11.42,32.88,35.4,25.11,5.8,21.66
2018-09-19 18:00:00,11.05,28.66,10.98,17.02,24.4,21.79,12.04,23.7,4.55
2018-09-20 18:00:00,15.19,12.73,18.08,14.25,7.86,22.56,24.08,18.3,14.6
2018-09-21 18:00:00,24.07,33.9,25.79,,15.43,14.84,16.95,18.5,22.97
2018-09-22 18:00:00,7.48,20.9,6.81,,11.48,18.03,14.74,17.8,9.7
2018-09-23 18:00:00,,,23.13,19.69,15.76,24.41,42.35,22.5,18.48
2018-09-24 18:00:00,19.39,,25.39,12.53,19.82,25.43,17.96,14.7,16.77
2018-09-25 18:00:00,24.33,26.06,25.45,16.46,25.68,,51.43,23.1,69.48
2018-09-26 18:00:00,24.4,52.96,26.23,18.53,24.32,18.48,34.54,11.9,24.08
2018-09-27 18:00:00,27.74,40.48,29.72,24.28,29.76,16.43,34.01,12.8,19.56
2018-09-28 18:00:00,36.11,39.16,28.4,12.11,23.56,22.87,19.8,23.9,29.62
2018-09-29 18:00:00,19.59,18.75,29.93,4.16,33.91,25.72,22.25,14.4,31.95
2018-09-30 18:00:00,20.09,21.58,34.43,19.87,22.94,87.94,21.5,10.0,12.37
2018-10-01 18:00:00,24.83,38.11,43.5,25.99,32.4,30.7,26.97,24.6,27.48
2018-10-02 18:00:00,30.73,24.94,21.84,24.58,31.67,50.2,34.53,19.9,29.9
2018-10-03 18:00:00,32.47,42.58,29.45,35.74,34.33,28.22,19.13,25.2,44.37
2018-10-04 18:00:00,41.66,31.33,27.11,27.81,22.85,31.15,43.72,19.7,31.51
2018-10-05 18:00:00,37.59,69.86,43.87,27.7,17.17,24.63,38.96,37.0,42.16
2018-10-06 18:00:00,18.04,25.55,18.82,30.67,18.81,11.85,13.46,14.4,
2018-10-07 18:00:00,19.45,36.94,24.15,40.61,9.62,41.9,32.66,20.9,
2018-10-08 18:00:00,,33.97,18.25,22.11,7.42,22.28,19.88,16.9,
2018-10-09 18:00:00,17.31,30.65,14.33,12.21,15.09,18.35,25.6,14.8,26.26
