Fecha,Guamani,Centro,ElCamal,Cotocollao,Belisario,LosChillos,Carapungo,SanAntonio,Tumbaco
"Jul 2, 2018",4.33,1.56,1.01,3.75,2.50,1.42,1.69,1.34,0.34
"Jul 3, 2018",5.18,4.06,5.00,3.83,3.75,0.00,3.53,1.71,2.36
"Jul 4, 2018",0.00,0.57,1.02,0.01,1.71,3.14,3.00,1.96,5.81
"Jul 5, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jul 6, 2018",0.62,0.00,0.34,6.84,7.93,5.01,4.08,0.00,0.36
"Jul 7, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jul 8, 2018",7.19,6.42,6.11,1.50,4.29,4.06,4.08,4.29,1.43
"Jul 9, 2018",0.00,0.40,0.32,3.76,2.23,0.92,3.39,0.00,4.97
"Jul 10, 2018",5.78,4.69,3.75,4.90,4.75,3.70,4.41,4.13,3.72
"Jul 11, 2018",1.63,2.51,4.97,2.52,2.86,3.86,2.37,4.77,6.43
"Jul 12, 2018",6.75,5.32,4.36,5.29,5.03,5.35,4.57,3.13,6.68
"Jul 13, 2018",2.31,4.56,2.80,0.02,2.44,4.99,1.95,5.57,4.20
"Jul 14, 2018",0.00,6.58,8.43,0.00,1.27,4.85,0.00,6.34,4.05
"Jul 15, 2018",5.77,4.01,3.31,5.04,4.77,2.03,6.00,3.27,2.62
"Jul 16, 2018",1.26,2.61,2.61,0.32,2.40,1.60,0.85,3.53,1.45
"Jul 17, 2018",0.17,4.26,4.07,0.12,0.10,3.61,0.14,4.74,0.00
"Jul 18, 2018",1.99,0.10,0.77,0.00,0.00,3.56,0.17,0.00,2.88
"Jul 19, 2018",6.27,0.00,2.65,4.03,1.01,3.60,3.87,0.00,0.00
"Jul 20, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
"Jul 21, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jul 22, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00
"Jul 23, 2018",6.37,7.13,6.86,1.61,7.02,4.12,1.35,6.83,3.82
"Jul 24, 2018",0.00,0.62,0.32,5.11,4.45,0.00,5.07,6.66,4.95
"Jul 25, 2018",5.53,0.25,0.47,0.00,0.00,0.29,0.57,2.91,3.85
"Jul 26, 2018",6.24,5.11,4.86,5.97,5.75,6.22,3.89,3.62,0.00
"Jul 27, 2018",0.00,0.00,0.00,0.00,0.30,0.19,0.00,0.00,0.86
"Jul 28, 2018",4.80,4.10,4.05,4.69,3.92,4.32,3.63,2.45,6.24
"Jul 29, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jul 30, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Jul 31, 2018",0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
"Aug 1, 2018",6.47,3.92,4.93,7.12,3.84,2.55,5.91,4.51,0.45
"Aug 2, 2018",5.98,2.67,4.03,4.71,2.84,1.89,4.21,1.73,3.78
"Aug 3, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Aug 4, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Aug 5, 2018",4.03,7.29,7.18,7.51,8.47,5.61,9.25,3.91,5.22
"Aug 6, 2018",0.00,0.00,0.00,0.00,0.00,2.33,4.28,8.98,5.67
"Aug 7, 2018",4.74,6.47,5.49,0.00,7.84,2.27,0.00,0.00,4.67
"Aug 8, 2018",3.91,7.13,7.78,0.00,6.72,6.02,1.21,7.55,4.43
"Aug 9, 2018",5.29,4.76,5.77,6.90,4.89,5.74,3.92,4.82,3.97
"Aug 10, 2018",6.33,2.49,0.19,6.14,5.34,0.98,3.31,4.28,4.05
"Aug 11, 2018",6.23,5.38,4.62,5.02,4.83,5.08,4.40,3.92,6.00
"Aug 12, 2018",0.19,1.72,1.24,3.36,3.53,0.46,1.14,0.00,0.11
"Aug 13, 2018",6.50,7.37,3.68,7.43,6.98,4.68,7.87,0.73,0.00
"Aug 14, 2018",2.29,1.45,5.15,0.00,1.09,5.15,3.58,6.07,4.77
"Aug 15, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30
"Aug 16, 2018",2.73,3.56,3.81,0.28,4.95,4.90,0.61,2.51,1.23
"Aug 17, 2018",0.00,0.05,1.79,0.75,4.83,5.95,0.91,5.14,5.64
"Aug 18, 2018",4.06,5.23,4.31,3.98,5.10,4.12,3.07,3.99,3.75
"Aug 19, 2018",0.01,2.11,0.23,3.19,6.81,0.00,0.00,1.39,3.20
"Aug 20, 2018",7.49,5.30,6.47,5.91,5.85,7.08,5.06,4.75,5.45
"Aug 21, 2018",0.00,0.81,3.33,3.36,1.94,2.09,3.47,2.68,4.35
"Aug 22, 2018",0.00,0.00,1.96,0.00,0.02,5.23,0.00,0.00,7.16
"Aug 23, 2018",3.58,9.53,10.45,8.06,9.43,9.70,8.11,7.67,8.81
"Aug 24, 2018",1.82,3.52,5.82,2.98,3.96,4.04,2.87,3.88,3.25
"Aug 25, 2018",3.90,3.92,2.86,3.62,3.58,2.17,2.27,4.57,2.43
"Aug 26, 2018",3.78,0.83,0.00,5.24,5.48,5.06,2.01,0.56,5.15
"Aug 27, 2018",0.00,0.00,0.19,1.72,0.00,0.00,1.87,0.00,0.00
"Aug 28, 2018",0.38,3.40,4.51,4.59,2.71,1.41,6.83,0.27,1.67
"Aug 29, 2018",4.02,5.91,4.84,5.44,4.47,5.82,4.45,3.57,6.73
"Aug 30, 2018",1.10,3.85,4.40,4.03,4.53,2.70,7.96,2.38,4.44
"Aug 31, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Sep 1, 2018",3.19,6.33,6.12,1.34,6.71,6.48,1.48,7.14,6.13
"Sep 2, 2018",0.00,0.00,0.00,0.00,0.00,4.37,0.00,2.64,0.94
"Sep 3, 2018",0.61,2.78,2.15,0.90,6.34,2.96,1.78,2.30,5.14
"Sep 4, 2018",0.00,0.00,0.00,0.00,0.00,0.00,3.87,0.10,0.00
"Sep 5, 2018",0.00,0.00,0.00,0.09,1.95,0.22,1.60,0.00,0.58
"Sep 6, 2018",2.96,5.33,6.17,5.25,5.46,2.31,7.33,5.56,1.82
"Sep 7, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Sep 8, 2018",0.00,0.00,0.00,1.04,4.35,0.12,0.00,0.78,2.91
"Sep 9, 2018",0.00,0.00,0.00,4.22,0.00,0.00,6.45,0.00,0.00
"Sep 10, 2018",0.35,0.00,0.00,0.98,1.38,0.39,4.28,2.38,6.98
"Sep 11, 2018",3.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69
"Sep 12, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Sep 13, 2018",0.00,1.11,1.24,0.00,0.74,2.18,0.39,0.20,0.00
"Sep 14, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Sep 15, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Sep 16, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Sep 17, 2018",4.55,1.84,2.31,6.87,3.70,3.15,6.08,3.10,4.78
"Sep 18, 2018",0.36,0.14,1.74,4.40,1.83,4.36,5.32,5.55,3.62
"Sep 19, 2018",7.72,6.78,5.63,1.93,7.12,4.18,1.80,4.13,6.39
"Sep 20, 2018",4.50,3.36,2.38,1.95,3.85,1.16,3.30,3.55,2.05
"Sep 21, 2018",0.00,5.58,2.84,0.06,0.00,0.00,0.35,4.04,0.00
"Sep 22, 2018",2.73,1.13,1.75,1.55,0.30,0.37,0.00,0.88,1.31
"Sep 23, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Sep 24, 2018",4.98,0.04,0.00,3.76,3.73,3.64,2.20,1.32,6.48
"Sep 25, 2018",4.69,0.00,0.00,0.00,0.33,1.81,1.81,3.98,7.55
"Sep 26, 2018",0.00,0.00,0.00,4.37,0.12,2.08,0.00,0.00,0.00
"Sep 27, 2018",0.19,0.00,0.00,0.24,0.44,0.06,1.42,4.32,7.54
"Sep 28, 2018",3.31,4.40,3.44,3.31,3.40,2.52,3.39,3.47,4.04
"Sep 29, 2018",9.87,6.49,5.63,6.03,7.46,4.85,6.56,7.53,4.90
"Sep 30, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Oct 1, 2018",3.38,8.47,3.07,9.73,7.81,10.96,13.85,8.43,12.55
"Oct 2, 2018",0.00,0.00,0.00,0.00,0.00,0.00,6.94,8.68,0.00
"Oct 3, 2018",0.71,1.09,2.57,3.48,3.77,5.35,4.17,6.10,6.89
"Oct 4, 2018",0.00,0.00,1.96,0.11,0.00,10.31,0.34,1.93,9.47
"Oct 5, 2018",0.00,6.12,7.06,6.93,7.58,0.61,6.20,6.77,0.00
"Oct 6, 2018",0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00
"Oct 7, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Oct 8, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Oct 9, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Oct 10, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Oct 11, 2018",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Oct 12, 2018",6.10,0.24,0.36,5.11,2.37,0.89,5.93,5.52,9.56
"Oct 13, 2018",0.00,0.00,0.00,0.80,0.00,1.06,0.12,5.35,0.00
"Oct 14, 2018",0.00,3.53,6.52,9.25,1.59,0.01,9.15,5.87,6.75
"Oct 15, 2018",3.33,7.04,5.32,5.08,8.16,4.71,5.07,7.71,6.21
"Oct 16, 2018",0.52,2.36,1.44,0.81,4.74,13.63,9.68,1.35,7.87
"Oct 17, 2018",0.00,4.72,2.28,3.79,7.19,5.97,7.43,9.16,7.78
